Titles	Is Hate?	Is offensive?
Stop being a faggot and stand up for your race, white man	TRUE	TRUE
You have more optimism than I doIt's not just the Left that's retarded here, it's the normies as well! And we are overrun by normies.	FALSE	TRUE
Can she be more retarded than everI guess no one explained why we have the Electoral college in the first place to her #Gab @GuardAmerican	FALSE	TRUE
See!! Even the Nigger said so!!	TRUE	TRUE
It's clear you know very little history .The only unifying force in Europe has been the Christian church which not only saves the West from the scourge of barbarianism but from subjugation under Islam too	TRUE	TRUE
Complain to Ofcom about the Sky Fake News hatchet job on Tommy Robinson, where they lied about his interview - the photo below has the date - the "journalist" is Jason Farrell   #BoycottSky 	FALSE	FALSE
Bolsheviks & bitches are against Western tradition; STRONG BODY/STRONG MINDIt's contrary to the pussy-hat wearing bimbos & the toy-soy-boys purpose of being too dumb & weak to resist limp-wristed kikes to take it overPump iron; fuck up faggot left.	TRUE	TRUE
If I was tech savvy, I'd create an app for businesses to register their restaurants, stores, services, etcas politically neutral "safe zones" and for individuals to locate businesses who don't tolerate progressive hate	FALSE	FALSE
1""HILARIOUS! 😂 😂 😂"" Brilliant! I'd GoFundMe for that!	FALSE	FALSE
UK Government Hires George Soros to Give Police ‘Hate Crime Training’   The UK has announced it will use taxpayers money to pay for George Soros's “hate crime” training programme, which will be used on Police officers tackling “anti-Muslim hate crimes.”Under the guise of fighting "hate speech" and "hate crime," the new Soros funded training smells a lot like the end of free speech.“I will also be asking my Anti-Muslim hate crime and Anti-Semitism roundtables to identify what more we can do to stamp out hate crime,” Home Secretary Sajid Javid said.As new plans to tackle “hate speech" are revealed, the Home Office has promised a police cash boost to give handlers “specialist training” developed by George Soros's NGO“The programme will help call handlers to effectively identify if a hate crime has been committed and provide a professional and empathetic response for people who may have suffered personal abuse,” according to the ministry’s website  jihadwatch.org reports: Police Oracle reports that £20,000 of taxpayers’ money will be spent on training delivered by the National Police Chiefs’ Council in partnership with Facing All The Facts, an organisation funded by globalist billionaire George Soros which works with social media companies like Google along with law enforcement agencies across Europe to monitor and fight “hate”.“It is part of the government’s crucial work to tackle all forms of hate crime, support victims and protect the vulnerable from this horrific abuse,” the Home Office said  Later this year, the government will release an updated Hate Crime Action Plan outlining further measures the state intends to take to tackle “the five hate crime strands – race, religion, sexual orientation, disability and transgender identities”  The action plan, the first version of which was published shortly after the Brexit vote in summer 2016, defines success as maximising the number of “hate” incidents reported by members of the public, instructing police and various monitoring agencies to actively solicit complaints  Sajid Javid said: “Hate crimes are totally unacceptable and have no place in British societyI understand the fear, anguish and anger they can cause.“Those who have the courage to report these vile crimes deserve as much support as possibleThat is why we have provided funding to give police call handlers expert training to spot the signs and respond compassionately“I will also be asking my Anti-Muslim hate crime and Anti-Semitism roundtables to identify what more we can do to stamp out hate crime,” the newly-installed Home Secretary said.Announcing their expansion, the Home Office said that the previous work of ‘hate crime’ roundtables includes the creation of a “guide to moderate online hate content” and a “guide to support hate crime victims”.It also highlighted “ongoing collaboration between the Anti-Muslim Hatred Working Group and IPSO (Independent Press Standards Organisation)” in the aid of ensuring “sensitive reporting” around issues relating to state-designated victim groups.While the number of arrests in Britain has fallen dramatically in recent years, despite large increases in recorded crime, arrests over “hateful” comments posted online have risen by as much as 877 percent in some parts of England  Full story:	FALSE	FALSE
---->watch Chicago's crime problem now be miraculously solved in 48 hours  JEWISH COMMUNITY IN CHICAGO IN SHOCK, FEAR AFTER MURDER OF LOCAL LEADER  “We went from extreme happiness to mourning, it’s unbearable.”  U N B E A R A B L E	FALSE	FALSE
Paddle.	FALSE	FALSE
1No you demanded, and claimed him as yoursHence self righteous faggot statementI just talked to Jesus an he confirmed that yes indeed you are a cunt	TRUE	TRUE
lol   "Multiple reports indicate that a mechanic servicing the parked aircraft accidentally fired the six-barreled 20mm Vulcan cannon at close range to two other parked F-16sPhotos show one F-16AM completely destroyed on the ground at FlorennesTwo maintenance personnel were reported injured and treated at the scene in the bizarre accident."	FALSE	FALSE
brian krassenstein ...the guy who always harasses the president and is paid by george soros ...	FALSE	FALSE
Yea justice K is innocent your a retard LMAO hope your ready for another beat down next month commie REDWAVE	FALSE	TRUE
Thankfully, @a @e stopped the fairy gay faggot tranny porn problemNone since they implemented their fix.	TRUE	TRUE
I have a feeling that our #GabFam are not your regular American citizens ..We are educated and stay informed -   I took the test and got 10/10 - How did you do?   Link to citizenship test: 	FALSE	FALSE
Moron Alert!! 👇👇👇👇	FALSE	FALSE
You really haven't a clue about them have youHe's broken every rule in the book!	FALSE	FALSE
W T F does your reply even mean?	FALSE	FALSE
pls shut up you violent person	FALSE	TRUE
Why is the faggot on Shepard Smith saying “this guy” in reference to whomever created the bombs?   fake ID coming.	TRUE	TRUE
Y'all he is a self hating nigger yes I said nigger that is why he brags about his white women (mud shark whore) he obviously wants to turn his DNA white can you blame him dam he was born a nigger after all	TRUE	TRUE
Yea I am White that stay's away from middle eastern sand nigger shit	TRUE	TRUE
Timber nigger gibs lmaoThey don't want anyone cutting in on their free trailers and fire water stipend lul	TRUE	TRUE
1@ Nancy: Preach! Some of us pick up what you are laying down ;)	FALSE	FALSE
This white guilt ridiculousness is seriously turning into a mental illness at this point	FALSE	FALSE
Welcome to GAB!  You just have to be wary of the fairy gay neo-Nazi faggot socialist bitches on hereJust MUTE them without respondingEventually, they disappearOn any posting of theirs go to your right where the ellipsis is, click on it and select MUTE.	TRUE	TRUE
1you really should have walked away a long time ago islamoanziyou only continue to confirm further you are an islamonazi pretending to be a Nazi.	TRUE	TRUE
Make liberals poorerThat'll show Trump.	FALSE	FALSE
Cuddle cat had the scent on it too - even if the she devil washed it ..why did she wash it ?	FALSE	FALSE
Anybody who follows this nigger is a coward and a fool	TRUE	TRUE
There are 800 in London along as the wee dyke running the Met has them trolling for any statements Muslim find offensiveThey are building files on anyone like Shaun Bailey that speak out against the crime Muslims cause.	FALSE	FALSE
the ultimate solution to the nigger problem is one of two things. physically remove them from our existence..deportation or isolation...or outright extermination..	TRUE	TRUE
Bob Marley - Selassie is the Chapel	FALSE	FALSE
1* lies to audience about Christopher Steven's image  **is politely corrected  *freaks out, says you are defending muslims   **never said anything other than that the image isnt who you said it was  Some people....	FALSE	FALSE
Time to either turf or imprison this Muzzie POS!   Think carefully before electing your Mayor!	TRUE	TRUE
we need to ban jews as well, and christians for good measure/ No semitic influences should be allowed into our nation, or our government	TRUE	TRUE
Black Sabbath - Planet Caravan  via @YouTube	FALSE	FALSE
1Why do you keep spreading cultural marxism?	FALSE	FALSE
*calling* here muzzie, muzzie, muzzie  ~~~ PEOPLE OF A CERTAIN CULTURE have no respect for women ( their~ commodities)	TRUE	TRUE
But obamasshole is a communist muslum faggot and she is a communist muslum dyke...both corrupt through and through...then she worked for killary...another verrry corrupt commie dyke  Are you starting to see the big picture ???	TRUE	TRUE
They’re trying everything they can to attack what it means to be a man.	FALSE	FALSE
Am I the only one that feels sorry for a guy who CONSTANTLY wants to “suck dick”	FALSE	TRUE
RETARDED INBRED	FALSE	TRUE
The Fake Alien Invasion   They Want You To Believe   #GabFam	FALSE	FALSE
France in shock as VIDEO of black student threatening teacher with ‘gun’ in class goes viral	FALSE	FALSE
Any chance the admin could fuck off the TWAT who keeps posting pornography on the Brit Fam pageHe's a troll trying to wreck this page.	FALSE	TRUE
If a Marine looked at him, he'd wet his diaper	FALSE	FALSE
1Confirmation bias is what your hillbilly brain is suffering fromSorry, I won’t be joining your crazy club.	FALSE	FALSE
I guess you forgot to read the preamble of the Declaration where the Founding Fathers claimed ALL MEN ARE CREATED EQUAL.The only person who can fix your stupid stares back at you from the mirror  Btw I wasn't the one who messaged you, nor was I the one triggered by your statements; seek therapy to help you deal with your insecurity that fears differing colors.	FALSE	FALSE
You're a faggot boomer	TRUE	TRUE
This cunt son or one the Rothschild son go s a round like Jesus Christ because the son think he a god and he was along time ago on infowar news and alec Jones called him out and talk all about that family and Alex one the who was normal and who is the devil	FALSE	FALSE
You have a poor memory don't you pussyboy?	TRUE	TRUE
Thank goodness this is not the 1700's!	FALSE	FALSE
That doesn't sound very free speechy	FALSE	FALSE
#texasFirst @realdavidduke @INFOWARSNEWS @realalexjones @truthwillout #AmericaIsBACK   MustSEE @Eric_StrikerDS A good new world?! Yes@JFGariepy  [phpGAB]	FALSE	FALSE
Clinton emails: Billionaire Soros said he regretted backing Obama  By Kristina Wong - 12/31/15	FALSE	FALSE
And the US got the Kennedys that they didn't.	FALSE	FALSE
If they voluntarily did that...Yes But they won't voluntarily Jump for Trump, so we best put on our fatigues & take care of business when the rioting starts	FALSE	FALSE
You do what you want @bovinex you’re a hero takin down the cabal no chance you’re mentally retarded stuck with the brain of an 8 year old!	FALSE	FALSE
Critical thoughtCritical thought is not an attackBy all means go claim injuryClaim injury for your god for all it does you or anyone such great things doesn't itSuch clumsily veiled "prior attacks levied" threatsJust don't be a retard and come up with these new-world xtian boogey men.	FALSE	TRUE
Go fuck your mom in the ass cock  sucking faggot mother fucker	TRUE	TRUE
Report me for what faggot, wrongthink? Eat a dick!	TRUE	FALSE
Kristen Bell says she finds multiple elements of Snow White to have bad messages for kidsThings like the non consensual kiss and taking apples from strangers  She strongly implies this story is damaging to children....BUT READS THE BOOK TO HER KIDS REGULARLY   Typical "I will make a SJW statement that I don't follow myself"	FALSE	FALSE
You sad cunt	TRUE	TRUE
Data available from the FBI (which is for 2015) indicates that 89.3 percent of black murder victims that year were killed by black perpetratorsAmong white murder victims, 81.3 percent were killed by someone who was white2/2	FALSE	FALSE
Nazis dindu nuffin#hitler	FALSE	TRUE
1Sounds like a good way to end up like a kulak, what happened to their dna?	FALSE	FALSE
This treasonous traitorous Hollywood Tramp needs to shut up about our President Trump and Judge Kavanaugh we will never forget what she did to the POWS in Vietnam	TRUE	TRUE
I’m sorry Rhodesia what were you saying Zimbabwe?	FALSE	FALSE
suck on sand nigger baby	TRUE	TRUE
